,id,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,pt_condo,pt_apartment,pt_house,pt_rental_unit,pt_hotel,pt_hostel,rt_entire_home/ap,rt_private_room,rt_shared_room,geometry,neighbourhood
5660,831660668751146336,50.076567940653256,14.42713612317826,1,1.0,1.0,1.0,77.36,1,365,4,5.0,0,0,0,0,1,0,0,1,0,POINT (14.42713612317826 50.076567940653256),Praha 2
5661,831672295436582277,50.0776325,14.4266734,2,1.0,1.0,1.0,144.28,1,365,4,5.0,0,0,0,0,1,0,0,1,0,POINT (14.4266734 50.0776325),Praha 1
5662,831676385345614879,50.0776325,14.4266734,4,1.0,1.0,2.0,172.08,1,365,3,4.0,0,0,0,0,1,0,0,1,0,POINT (14.4266734 50.0776325),Praha 1
5663,831682405574065459,50.0776325,14.4266734,4,1.0,1.0,2.0,206.88,1,365,6,4.33,0,0,0,0,1,0,0,1,0,POINT (14.4266734 50.0776325),Praha 1
5664,831690531840466746,50.0776325,14.4266734,4,1.0,2.0,2.0,183.4,1,365,9,4.33,0,0,0,0,1,0,0,1,0,POINT (14.4266734 50.0776325),Praha 1
5665,831692035585065731,50.076378,14.424178,4,1.0,2.0,4.0,117.04,3,30,33,4.79,0,0,0,1,0,0,1,0,0,POINT (14.424178 50.076378),Praha 2
5666,831783077242545268,50.07042208232233,14.416067028824624,6,1.0,2.0,4.0,154.28,3,365,38,4.55,0,0,0,1,0,0,1,0,0,POINT (14.416067028824624 50.07042208232233),Praha 2
5667,832292683387421678,50.0046064,14.4660457,2,1.0,1.0,2.0,34.0,30,365,0,4.81,0,0,0,0,0,0,1,0,0,POINT (14.4660457 50.0046064),Libuš
5668,832559206017182558,50.09071059999999,14.4408592,2,1.5,1.0,1.0,74.88,2,90,32,4.84,0,0,0,1,0,0,1,0,0,POINT (14.4408592 50.09071059999999),Praha 8
5669,832562437964410246,50.09071059999999,14.4408592,2,1.0,1.0,1.0,74.88,2,90,44,4.77,0,0,0,1,0,0,1,0,0,POINT (14.4408592 50.09071059999999),Praha 8
5670,832564342370208219,50.09071059999999,14.4408592,3,1.0,1.0,2.0,74.88,2,90,28,4.36,0,0,0,1,0,0,1,0,0,POINT (14.4408592 50.09071059999999),Praha 8
5671,832567015425420041,50.09071059999999,14.4408592,2,1.0,1.0,1.0,74.88,2,90,21,4.33,0,0,0,1,0,0,1,0,0,POINT (14.4408592 50.09071059999999),Praha 8
5672,832568280731337227,50.09071059999999,14.4408592,2,1.0,1.0,1.0,71.2,2,14,34,4.59,0,0,0,1,0,0,1,0,0,POINT (14.4408592 50.09071059999999),Praha 8
5673,832570089459310340,50.09071059999999,14.4408592,5,1.0,1.0,3.0,74.88,2,90,23,4.43,0,0,0,1,0,0,1,0,0,POINT (14.4408592 50.09071059999999),Praha 8
5674,832620478050159749,50.091170613391775,14.423426442634987,4,1.0,1.0,0.0,78.44,2,1125,63,4.83,0,0,0,1,0,0,1,0,0,POINT (14.423426442634987 50.091170613391775),Praha 1
5675,833357856598479336,50.07737056419423,14.44232671363607,2,1.0,1.0,1.0,360.0,1,365,0,4.81,0,0,0,1,0,0,1,0,0,POINT (14.44232671363607 50.07737056419423),Praha 2
5676,833449229261035551,50.09994,14.49159,2,1.0,1.0,1.0,48.0,2,1125,10,4.8,0,0,0,1,0,0,1,0,0,POINT (14.49159 50.09994),Praha 9
5677,833846061143634841,50.0809057,14.4594782,3,1.0,1.0,2.0,75.0,2,90,29,4.55,0,0,0,1,0,0,1,0,0,POINT (14.4594782 50.0809057),Praha 3
